"Book Number","Title","Author","Description","Publisher","ISBN","PRICE USED","PRICE NEW","BOX NUMBER","No. of Pages","KEEP","SELL","Notes",
1566,"Bob, son of battle","alfred Ollivant","Adventures in English","McGraw Hill","07-099691-1",,,24,154,,,"Para vender",
1567,"Dicionario de Linguistica","Jean Dubois","livro de linguistica em portugues","cultrix","None",,,24,653,,,"Para vender",
1568,"English for Today book four: Our changing technology","none","second edition book","McGraw Hill","0-07-045813-8",,,24,182,,,,
1569,"Aspects of Language","Dwight Bolingero","Book  ","Harcourt, Brace & world Inc.","0-15-503865-6",,,24,326,,,"Para vender",
1570,"O vale do sao francisco","Flores Rego","livro bem velho","none","None",,,24,242,,,"Para vender",
1571,"English for Today book three: The way we live","none","english book","McGraw Hill","07-045810-3",,,24,282,,,,
1572,"Teaching Spanish ","Politzer, Staubach","Book  ","Blaisdell Publishing company","None",,,24,198,,,"Para vender",
1573,"American Idioms and Idiomatic usage","Harold C whitford and Robert Dixson","Book  ","Regents Publishing Company, Inc.","None",,,24,188,,,,
1574,"Lado English Series- lado english series book 3","Robert Lado","Book  ","Prentice Hall Regents","0-13-522020-3",,,24,196,,,,
1575,"The robe","Lloyd C Douglas","Book  ","Houghton Mifflin Company Boston","None",,,24,508,,,"Para vender",
1576,"French Visual Grammar","Gerald Fleming","Book  ","Ginn and company","None",,,24,296,,,"Para vender",
1577,"French Level two","none","Book  ","Harcourt, brace & world Inc.","None",,,24,356,,,"Para vender",
1578,"Reading Literature","Roger Gower and Margaret Pearson","Book  ","Longman","0-582-74501-2",,,24,278,,,"Para vender",
1579,"Games Big book of games","Ronie Shushan","Book  ","Workman Publishing, New York","0-89480-806-0",,,24,192,,,,
1580,"Crossword Puzzles Ages 8-10","none","Book  ","whitman","None",,,25,64,,,,
1581,"A Pequena Sereia","none","Comic Book","Disney  ","1413-1781",,,25,50,,,,
1582,"new Happy book Happy game","none","cutting book","editora scipione","None",,,25,29,,,"Para vender",
1583,"The adventures of Huckleberry Finn","Mark Twain","audio tape for a book American Classics","Regents Publishing Company, Inc.","None",,,25,"n.a.",,,"4 audio tapes",
1584,"The Hoosier Schoolmaster","Edward Eggleston's","audio tape for a book American Classics","Regents Publishing Company, Inc.","None",,,25,"n.a.",,,"4 audio tapes",
1585,"English 3","Amadeus Marques","Grammar book","Editora Atica","85-08-05493-9",,,25,207,,,,
1586,"101 Dalmatians","none","Comic Book","Disney  ","1-56115-271-4",,,25,48,,,,
1587,"Investigacion de gramatica","Patricia Vining Lunn/Janet A decesaris","Grammar book","Heinle & Heinle Publishers","0-8384-2348-5",,,25,216,,,,
1588,"Fafhrd and the Gray Mouser","Fritz Leiber's","Comic Book","Epic comics","0-87135-721-6",,,25,47,,,,
1589,"500 Words to grow on","Harry McNaught","Picture book","A random house pictureback","0-394-82668-X",,,25,31,,,"Para vender",
1590,"Super Mario Bros.","none","Comic Book","Valiant","None",,,25,32,,,,
1591,"English Junior","none","poster","editora Abril","None",,,25,"n.a.",,,"poster","para vender"
1592,"English Junior 1","none","Book  ","Editora Abril","None",,,25,16,,,"Para vender",
1593,"mathematics Mastering Arabic Numerals","none","Book  ","Golden","0-307-05973-1",,,25,96,,,"Para vender",
1594,"Young English Series Yes!","Lars Mellgren Michael Walker","Workbook  ","Addison-Wesley Publishing company","0-201-4954-6",,,25,48,,,,
1595,"Way in A Pupil's book ","Margared","pupil's book","Longman","0-582-51073-2",,,25,64,,,"Para vender",
1596,"Crossword Puzzles grades 3-4","none","Puzzle book","whitman","None",,,25,64,,,,
1597,"Way in B Pupil's book","Margaret Iggulden","pupil's book","Longman","0-582-51076-7",,,25,64,,,"Para vender",
1598,"Time for English  Book 2 workbook","Amadeus Marques","Workbook  ","editora atica","85-08-00447-8",,,25,64,,,,
1599,"Time for English book 3","Amadeus Marques","Textbook","editora atica","None",,,25,112,,,,
1600,"New Happy book Pictures","Tania Moraes Gaspar","children's book","editora scipione","None",,,25,31,,,"Para vender",
1601,"The wild west","Waldo Clarke","Book  grade 4","Evans","0-237-50047-7",,,25,44,,,,
1602,"The Young Warriors Stage 6","Vic Reid","Longman Structural Readers  ","Longman","0-582-53779-7",,,25,78,,,,
1603,"Jason and Argonauts","none","Comic Book","tome press","1055-4815",,,25,34,,,,
1604,"Time for English book 4","Amadeus Marques","Grammar textbook","editora atica","85-08-02313-8",,,25,62,,,,
1605,"storylines","Mark Fletcher/David Birt","Book  ","Longman","0-582-79103-0",,,25,48,,,,
1606,"metrics.time.money","none","a help yourself workbook grades 1 and 2","whitman","0-307-01446-0",,,25,64,,,"Para vender",
1607,"The Hammond World Atlas","none","presented by fortune","Fortune","None",,,25,256,,,"Para vender",
1608,"New Happy book Pictures","Tania Moraes Gaspar","Happy pictures","editora scipione","None",,,25,31,,,"Para vender",
1609,"Bambi","none","disney book","walt disney  ","0-8317-0681-3",,,25,95,,,"Para vender",
1610,"Greece in photographs","jean charbonneaux","photography book","t&H","None",,,25,196,,,"Para vender",
1611,"English 2","Amadeus Marques","Grammar book","editora atica","85-08-05492-0",,,25,216,,,,
1612,"Inspector Holt cats in the dark","John Tully","Book  ","collins english library","0-00-370131-X",,,25,32,,,,
1613,"English 1","Amadeus Marques","Grammar book","editora atica","None",,,25,206,,,,
1614,"English 1","Amadeus Marques","Grammar book","editora atica","85-08-05624-9",,,25,206,,,"Para vender",
1615,"Dictionnaire Fondamental","G. Gougenheim","Dictionary ","didier","None",,,25,255,,,"Para vender",
1616,"Pride and Prejudice","Jane Austen","Book  ","collins English Library","0-00-370075-5",,,25,96,,,,
1617,"Ingles Segundo Grau volume 2","Cleide B Cerdeira/Patricia H.C. Senne","Book  ","editora moderna","None",,,25,273,,,,
1618,"Ingles Segundo Grau volume 1","Cleide B Cerdeira/Patricia H.C. Senne","Book  ","editora Moderna","None",,,25,223,,,,
1619,"Ingles segundo grau volume 3","Cleide B Cerdeira/Patricia H.C. Senne","Book  ","editora moderna","None",,,25,318,,,,
1620,"A christmas Carol","Charles Dickens","Book  ","Collins English Library","0-00-370078-X",,,25,92,,,,
1621,"I know my love","Catherine Gaskin","Book  ","Collins English Library","0-00-370092-5",,,25,112,,,,
1622,"The lutheran digest","none","church booklet","allen","None",,,25,72,,,"Para vender",
1623,"Japanese manga","none","Comic Book","bonita comics","4-253-09291-8",,,25,208,,,"Para vender",
1624,"An international Reader's dictionary","michael west","Book  ","longman","0-582-55535-3",,,25,310,,,"Para vender",
1625,"General Linguistics an introductory Survey","R.H Robbins","Book  ","a longman paperback","0-582-55364-4",,,25,330,,,"Para vender",
1626,"Japones Portugues","none","dicionario","editora rideel ltda","None",,,25,375,,,"Para vender",
1627,"Death in the northeast – Poverty and revolution in the northeast of Brazil","Josue de castro","Book  ","A vintage book","None",,,25,206,,,"Para vender",
1628,"Know your own I.Q.","H.J. Eysenck","Book  ","A pelican Original","None",,,25,192,,,"Para vender",
1629,"Graded english 2","Eduardo Amos/Ernesto Pasqualin/Elisabeth Prescher Martins","Grammar book","editora Moderna","None",,,25,192,,,,
1630,"graded english 3","Eduardo Amos/Ernesto Pasqualin/Elisabeth Prescher Martins","Grammar book","editora moderna","None",,,25,175,,,,
1631,"The systems view of the world","Ervin Laszlo","Author of Introduction to systems Philosophy","Braziller","None",,,25,131,,,"Para vender",
1632,"Lado English Series 2-lado english series new edition","Robert Lado","a complete course in English as a second language","Prentice Hall Regents","0-13-522012-2",,,25,167,,,,
1633,"English 3 segundo grau","Amadeus Marques","Grammar book","editora atica","85-08-02352-9",,,25,208,,,,
1634,"English 2","Amadeus Marques","Grammar book","editora atica","85-08-05492-0",,,25,216,,,"Para vender",
1635,"Listen and Perform The TPR student workbook","Stephen Mark Silvers","Book  ","sky oaks production, inc.","0-940296-29-2",,,25,214,,,,
1636,"English 1","Amadeus Marques","Grammar book","editora atica","85-08-05491-2",,,25,206,,,,
1637,"English 2 segundo grau","Amadeus Marques","Grammar book","editora atica","None",,,25,216,,,,
1638,"Pathways to English- national council of teachers of English","harold Allen","Book 1","McGraw Hill","0-07-046581-9",,,25,186,,,,
1639,"Graded English 1","Eduardo Amos/Ernesto Pasqualin/Elisabeth Prescher Martins","Book 1","Editora Moderna","None",,,25,184,,,,
1640,"English 1 segundo grau","Amadeus Marques","Book  ","editora atica","None",,,25,206,,,"Para vender",
1641,"chariots of fire","W.J. Weatherby","Book  ","collins English Library","0-00-370163-8",,,25,48,,,"Para vender",
1641,"chariots of fire","W.J. Weatherby","Book  ","collins English Library","0-00-370163-8",,,25,48,,,,
1643,"Japan an interpretation","Lafcadio Hearn","Book  ","charles e tuttle company","0-8048-0272-6",,,25,507,,,"Para vender",
1644,"Magic Eye 1995 desk calendar","none","3d illusions by N.E. Thing enterprises","andrews and mcmeel","0-8362-7589-6",,,25,129,,,"Para vender",
1645,"English for life","Amadeus Marques","Book 3","Editora Atica","85-08-02317-0",,,26,224,,,,
1646,"English 3","Amadeus Marques","Book 3","Editora Atica","85-08-05493-9",,,26,208,,,,
1647,"English for life","Amadeus Marques","Book 3","editora atica","85-08-02317-0",,,26,223,,,,
1648,"English 1","Amadeus Marques","Book 1","editora atica","85-08-05491-2",,,26,206,,,,
1649,"English 2","Amadeus Marques","Book 2","editora atica","None",,,26,216,,,,
1650,"HL","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1651,"Les Chouans-narracao-agnes partie III (original)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1652,"Les Chouans-narracao-agnes partie II (original)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1653,"French Muzzy II Narracao fita I (original)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1654,"Fita 2 -french Muzzy II Narration","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1655,"Curso de idiomas globo Frances (comedia)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1656,"Plein soleil orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1657,"japact copy 4","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1658,"Muzzy I","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1659,"Lost Secret Narration p.55 -end/Muzzy 3-6","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1660,"Follow me-1999 unit 4 original 1-78/78-83 end","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1661,"Action stories 1-23/24-40","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1662,"Lost Secret compact 1-7/7-11","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1663,"Follow me -1998 units 1-3/3-5","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1664,"Conversation Action Stories 1-16/Action stories 16-20/kid 1-16","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1665,"toefl cambridge 1","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1666,"toefl cambridge 4","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1667,"Back to the future sound track","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1668,"rescuers down under tape one","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1669,"Short stories (henry I)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1670,"follow me to san francisco units 1-7/ units 8-10","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1671,"tom and jerry I copy one/pages 1-10/10-end","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1672,"Precious puppy 1999-original/all precious puppy","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1673,"Side A cycle one/side b cycle two","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1674,"The last leaf","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1675,"Conversation 5 indiana jones","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1676,"songs two (music)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1677,"Sheriff/troy stone","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1678,"Kid-slow 1999 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1679,"kid master 96","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1680,"Original Muzzy I-story tell tape 1 units 1-2/units 3-4","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1681,"Muzzy II narration tape 2/copy 2 34-51/52-70","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1682,"follow me unit one","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1683,"Look ahead 6-10 tape 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1684,"follow me (Henry)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1685,"class copy 1 muzzy one","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1686,"who killed taylor french tape two","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1687,"tintin","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1688,"easy starts dino's day/flying home/Maisie and the dolphin/tinkers island","none","Audio Tape ","Longman","None",,,26,"n.a.",,,"Audio Tape ",
1689,"meditacao por Mirna Grzich","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1690,"Follow me -unit 6 original six","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1691,"C3-1999 orig. precious pup/kid","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1692,"kid copy I 1-24/24-51 end","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1693,"Back to the future tape 2 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1694,"back to fut tape 3","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1695,"follow me 1999 unit 3 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1696,"follow me to san francisco narration","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1697,"follow me 1999 unit 7 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1698,"Master 2 Interactive stories 1-15/precious pup/precious pup/kid","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1699,"the kid old version","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1700,"kid interrogative and negative copy 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1701,"tintin in america orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1702,"Kid 1998 B","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1703,"Action stories  ","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1704,"action stories(painho)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1705,"A bela e a fera I orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1706," back to the future tape I copy I","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1707,"Muznar I orig 6","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1708,"romancing the stone pref.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1709,"follow me to san francisco soundtrack","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1710,"back to the future tape one-copy 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1711,"follow me 1999 unit 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1712,"tennessee ernie ford","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1713,"honey","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1714,"tintin in america narration","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1715,"back to the fut. Tape II orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1716,"bela e fera I copy","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1717,"back to future part 4","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1718,"back to the future tape III","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1719,"gold rush orig. eng.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1720,"Interactive stories 1999 original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1721,"tintin in america tape 3 soundtrack","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1722,"music program","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1723,"empty box","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1724,"Kid 7 copy 3 1-30/31-end","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1725,"back to the future tape I orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1726,"lado/lado 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1727,"readings/gram/book one-master","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1728,"3 little pigs/little red hen","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1729,"follow me I copy 1","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1730,"payday","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1731,"back to the future tape 4","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1732,"kid  c4 master","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1733,"romancing the stone I original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1734,"Kid 1998 tape a","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1735,"readings/grammar book/master units 5.5","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1736,"Gold rush part 2 tape one original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1737,"moby dick original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1738,"Muzzy II english original narration","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1739,"action stories 1-40","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1740,"c4 muz nar./gold rush","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1741,"conundrum","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1742,"the sheriff","none","Audio Tape ","longman","None",,,26,"n.a.",,,"Audio Tape ",
1743,"romancing the stone 2 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1744,"gold rush copy 1","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1745,"gold rush copy 60 min","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1746,"Interview 1999 original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1747,"TOEFL building skills for the toefl","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1748,"muzzy II /tape 3","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1749,"lucia tintin in america","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1750,"lost secret II orig","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1751,"c1 master 1998 interactive stories 1-15/precious pup/kid","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1752,"kid copy 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1753,"read book 6/6 am master","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1754,"muzzy I slow motion stories","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1755,"read (a. marques original)","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1756,"Lost secret I orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1757,"Ghost 1 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1758,"payday orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1759,"toefl building skills for the toefl","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1760,"jazz chants/goldilocks/little red","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1761,"tape one Muz. II narr","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1762,"Muzzy I original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1763,"what to say II master copy","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1764,"indy narr original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1765,"pingu orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1766,"tom and jerry I orig 10 cart","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1767,"Read 3 and 4 marque orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1768,"questions and answers","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1769,"what to say I master copy","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1770,"Read 8 orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1771,"tom and jerry comp.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1772,"Longman practice tests for the TOEFL","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1773,"Face to face fast-original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1774,"readings grammar book one -orig narration","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1775,"uni dune-dei 2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1776,"sound track tintin the crab with the golden claws","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1777,"amadeus marques read book original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1778,"sea wolf original","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1779,"read /grammar book on 1-5","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1780,"tom and jerry compact orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1781,"back to fut II copy","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1782,"Marques ½/20","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1783,"conversation c2-1998","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1784,"Huck finn copy 1","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1785,"Marques 2o grau book 3","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1786,"Huck Finn orig.","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1787,"Marques 1 and 2, 2o grau","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1788,"back to the future orig III","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1789,"amadeus marques 2o grau copy 1","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1790,"Honey-amadeus marques","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1791,"london","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1792,"Back to the future sound track","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1793,"tom and jerry II orig","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1794,"Read 3 and 4 a. marques","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1795,"what to say master","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1796,"sea wolf copy one","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1797,"amadeus book 1,2","none","Audio Tape ","none","None",,,26,"n.a.",,,"Audio Tape ",
1798,"Fly soup(dentro da pasta verde que diz 'the rescuers down under)","none","pasta","none","None",,,27,"n.a.",,,"Audio Tape ",
1799,"miscellaneous folder(it says 'toefl program master' but different content)","none","pasta","none","None",,,27,"n.a.",,,,
1800,"tintin in america part one","none","folhas encardenadas ","none","None",,,27,"n.a.",,,,
1801,"pasta vermemlha","none","figuras entre outros","none","None",,,27,"n.a.",,,,
1802,"lost secret  ","none","encardenado","none","None",,,27,"n.a.",,,,
1803,"pasta azul miscellaneous sheets of paper","none","folhas avulsas","none","None",,,27,"n.a.",,,,
1804,"pasta preta","none","payday entre varias outras","none","None",,,27,"n.a.",,,,
1805,"The flying cat  e outros tom and jerry ","none","folhas encardenadas ","none","None",,,27,"n.a.",,,,
1806,"Action stories figuras","none","folhas encardenadas ","none","None",,,27,"n.a.",,,,
1807,"Questions and answers face to face","none","folhas encardenadas ","none","None",,,27,"n.a.",,,,
1808,"Lado book 4 Exercises pasta vermelha","none","transparencias","none","None",,,27,"n.a.",,,,
1809,"Lost Secret  compact version","none","folhas avulsas","none","None",,,27,"n.a.",,,,
1810,"pasta marrom tempos verbais gerundio","none","folhas avulsas","none","None",,,27,"n.a.",,,,
1811,"Table Masters documents","none","folhas avulsas","none","None",,,27,"n.a.",,,,
1812,"Tintin-crab tape 1","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1813,"Lost secret Narration Orig.","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1814,"Interactive stories /pup","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1815,"c8 master","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1816,"last leaf lost love the doll/david swan","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1817,"Tintin-amer nar 1","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1818,"back fut tape 4 mhs copy","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1819,"Conversation 3","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1820,"follow me I orig.","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1821,"follow me s.f. Tape 3","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1822,"C3 1998","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1823,"kid I -orig ","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1824,"muzzy I compact original","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1825,"Lost secret compact original","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1826,"muzzy II  ","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1827,"follow me 1999 unit 5 original","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1828,"follow san fran nar. Orig","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1829,"follow me sf 9","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1830,"orig muzzy I nar","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
1831,"c5 master","none","Audio Tape ","none","None",,,27,"n.a.",,,"Audio Tape ",
